Dataset,Defense,Attack,Eps,AUC,Path
htru2,DM-δ,cw2,0.000,0.7698698618139663,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_htru2_cw2_0.000.csv
htru2,DM-δ,cw2,10.000,0.9856012850080188,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_htru2_cw2_10.000.csv
htru2,DM-γ,fgsm,0.300,0.9355146594018727,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_htru2_fgsm_0.300.csv
htru2,DM-γ,fgsm,0.600,0.9896581141846343,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_htru2_fgsm_0.600.csv
htru2,DM-γ,apgd,0.300,0.9188186161249082,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_htru2_apgd_0.300.csv
htru2,DM-γ,apgd,0.600,0.9895348160667593,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_htru2_apgd_0.600.csv
htru2,DM-γ,cw2,0.000,0.7177507129800975,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_htru2_cw2_0.000.csv
htru2,DM-γ,cw2,10.000,0.9748656999104086,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_htru2_cw2_10.000.csv
htru2,DM-κ,fgsm,0.300,0.9092138236297156,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_htru2_fgsm_0.300.csv
htru2,DM-κ,fgsm,0.600,0.9806365741558875,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_htru2_fgsm_0.600.csv
htru2,DM-κ,apgd,0.300,0.8991870455683301,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_htru2_apgd_0.300.csv
htru2,DM-κ,apgd,0.600,0.9854743191069891,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_htru2_apgd_0.600.csv
htru2,DM-κ,cw2,0.000,0.6878577660283482,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_htru2_cw2_0.000.csv
htru2,DM-κ,cw2,10.000,0.9482323237363842,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_htru2_cw2_10.000.csv
htru2,BB,fgsm,0.300,0.5881591114199074,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_htru2_fgsm_0.300.csv
htru2,BB,fgsm,0.600,0.7659222360335504,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_htru2_fgsm_0.600.csv
htru2,BB,apgd,0.300,0.5904297400663805,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_htru2_apgd_0.300.csv
htru2,BB,apgd,0.600,0.8043615314604508,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_htru2_apgd_0.600.csv
htru2,BB,cw2,0.000,0.5284722704322036,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_htru2_cw2_0.000.csv
htru2,BB,cw2,10.000,0.7208417580374064,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_htru2_cw2_10.000.csv
htru2,Prob.,fgsm,0.300,0.6499833067344488,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_htru2_fgsm_0.300.csv
htru2,Prob.,fgsm,0.600,0.3699206372077799,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_htru2_fgsm_0.600.csv
